GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;430;255;0;
2;429;268;0;
3;426;280;0;
4;497;297;0;
5;445;271;0;
6;430;293;0;
7;459;273;0;
8;439;271;0;
9;408;304;0;
10;473;282;0;
11;446;273;0;
12;453;286;0;
13;426;278;0;
14;438;276;0;
15;444;304;0;
16;467;296;0;
17;410;261;0;
18;454;300;0;
19;417;259;0;
20;425;273;0;
21;432;256;0;
22;423;286;0;
23;420;246;0;
24;453;297;0;
25;485;280;0;
26;493;241;0;
27;460;292;0;
28;421;293;0;
29;433;280;0;
30;422;275;0;
31;406;291;0;
32;444;285;-3.402823E+38;
33;450;297;0;
34;444;302;0;
35;454;272;0;
36;444;301;0;
37;450;277;0;
38;443;301;0;
39;433;262;0;
40;444;279;0;
41;458;261;0;
42;520;296;0;
43;414;332;0;
44;420;274;0;
45;429;270;0;
46;421;272;0;
47;443;272;0;
48;446;278;0;
49;492;269;0;
50;438;274;0;
51;429;288;0;
52;488;280;0;
53;435;311;0;
54;412;277;0;
55;438;286;0;
56;457;300;0;
57;468;300;0;
58;445;273;0;
59;419;281;0;
60;438;314;0;
61;417;291;0;
62;439;273;0;
63;473;283;0;
64;460;288;0;
65;461;262;0;
66;432;310;0;
67;441;294;0;
68;439;238;0;
69;453;316;0;
70;420;283;0;
71;421;288;0;
72;438;277;0;
73;415;296;0;
74;443;297;0;
75;406;265;0;
76;406;301;0;
77;460;288;0;
78;453;305;0;
79;429;273;0;
80;430;287;0;
81;430;298;0;
82;443;273;0;
83;456;315;0;
84;421;269;0;
85;427;291;0;
86;458;296;0;
87;464;264;0;
88;453;293;0;
89;429;280;0;
90;437;279;0;
91;442;286;0;
92;427;274;0;
93;427;301;0;
94;461;285;0;
95;411;253;0;
96;422;288;0;
97;454;303;0;
98;443;301;0;
99;430;266;0;
100;445;305;0;
101;441;283;0;
102;449;312;0;
103;441;293;0;
104;448;313;0;
105;461;298;0;
106;422;271;0;
107;412;305;0;
108;416;288;0;
109;410;268;0;
110;435;298;0;
111;478;255;0;
112;438;298;0;
113;437;284;0;
114;425;292;0;
115;434;299;0;
116;441;325;0;
117;449;297;0;
118;452;268;0;
119;444;295;0;
120;447;273;0;
121;431;297;0;
122;450;274;0;
123;418;308;0;
124;439;293;0;
125;442;279;0;
126;470;259;0;
127;442;292;0;
128;438;295;0;
129;456;266;0;
130;426;309;0;
131;419;312;-3.402823E+38;
132;445;270;0;
133;404;225;0;
134;428;267;0;
135;469;300;0;
136;423;278;0;
137;437;290;0;
138;432;268;0;
139;452;316;0;
140;431;292;0;
141;425;310;0;
142;431;307;0;
143;477;272;0;
144;469;288;0;
145;444;280;0;
146;421;284;0;
147;486;273;0;
148;433;278;0;
149;476;298;0;
150;448;270;0;
151;435;300;0;
152;427;285;0;
153;424;278;0;
154;443;292;0;
155;432;284;0;
156;449;296;-3.402823E+38;
157;449;294;0;
158;448;277;0;
159;445;288;0;
160;425;306;0;
161;433;251;0;
162;448;299;0;
163;468;277;0;
164;474;323;0;
165;440;290;0;
166;439;310;0;
167;422;272;0;
168;438;298;0;
169;449;255;0;
170;462;288;0;
171;442;301;0;
172;435;282;0;
173;440;283;0;
174;420;287;0;
175;413;284;0;
176;469;304;0;
177;455;291;0;
178;443;307;0;
179;426;294;0;
180;463;304;0;
181;440;288;0;
182;458;264;0;
183;423;301;0;
184;424;293;0;
185;430;305;0;
186;452;295;0;
187;435;294;0;
188;437;287;0;
189;425;276;0;
190;443;269;0;
191;447;310;0;
192;443;292;0;
193;462;261;0;
194;459;291;0;
195;403;280;0;
196;426;293;0;
197;442;300;0;
198;433;283;0;
199;458;253;0;
200;439;294;0;
201;453;307;0;
202;436;285;0;
203;435;244;0;
204;442;332;0;
205;482;329;0;
206;443;262;0;
207;409;310;0;
208;441;275;0;
209;431;299;0;
210;418;305;0;
211;453;314;0;
212;407;261;0;
213;427;254;0;
214;419;302;0;
215;426;308;0;
216;442;288;0;
217;446;305;0;
218;425;314;0;
219;436;278;0;
220;443;281;0;
221;429;261;0;
222;511;264;0;
223;438;289;0;
224;425;254;0;
225;447;286;0;
226;409;269;0;
227;425;306;0;
228;417;268;0;
229;431;275;0;
230;424;317;0;
231;428;276;0;
232;442;290;0;
233;439;276;-3.402823E+38;
234;439;271;0;
235;458;307;0;
236;450;305;0;
237;436;269;0;
238;433;316;0;
239;448;296;0;
240;435;272;0;
241;444;308;0;
242;425;283;0;
243;444;278;0;
244;412;298;0;
245;427;258;0;
246;423;286;0;
