GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;4484;927;0;
2;4202;904;-3.402823E+38;
3;4429;853;0;
4;4472;846;0;
5;4502;806;0;
6;4626;863;0;
7;4121;826;0;
8;4305;803;0;
9;4414;769;0;
10;4228;787;0;
11;4165;819;0;
12;4573;869;0;
13;4284;825;0;
14;4386;826;0;
15;4242;798;0;
16;4300;848;0;
17;4611;829;0;
18;4685;835;0;
19;4027;827;0;
20;4101;857;0;
21;4387;864;0;
22;4369;876;0;
23;4699;845;0;
24;4348;784;0;
25;4291;866;0;
26;4098;780;-3.402823E+38;
27;4199;858;0;
28;4294;821;0;
29;4445;787;0;
30;4425;803;0;
31;4832;842;0;
32;4334;846;0;
33;4250;837;0;
34;4564;819;0;
35;4659;839;0;
36;4392;851;0;
37;4725;835;0;
38;4232;840;0;
39;4344;823;0;
40;4278;836;0;
41;4413;773;0;
42;4500;805;0;
43;4292;830;0;
44;4212;809;0;
45;4478;830;0;
46;4428;845;0;
47;4865;832;0;
48;4744;885;0;
49;4325;867;0;
50;4570;830;0;
51;4761;855;0;
52;4476;849;0;
53;4404;823;0;
54;4596;849;0;
55;4651;838;0;
56;4244;886;0;
57;4348;808;0;
58;4386;844;0;
59;4392;802;0;
60;4418;928;0;
61;4540;837;0;
62;4617;832;0;
63;4397;851;0;
64;4407;884;0;
65;4151;831;0;
66;4682;832;0;
67;4928;843;-3.402823E+38;
68;4470;875;0;
69;4214;820;0;
70;4744;827;0;
71;4337;824;0;
72;4328;789;0;
73;4420;877;0;
74;4485;814;0;
75;5080;823;0;
76;4183;868;0;
77;4803;848;0;
78;4529;804;0;
79;4471;850;0;
80;4515;856;0;
81;4314;834;0;
82;4453;793;-3.402823E+38;
83;4544;833;0;
84;4275;882;0;
85;4378;905;-3.402823E+38;
86;4828;921;0;
87;4268;821;0;
88;4341;840;0;
89;4634;840;0;
90;4363;802;0;
91;4354;845;0;
92;4947;831;0;
93;4353;882;0;
94;4495;819;0;
95;4632;857;0;
96;4618;869;0;
97;4412;894;0;
98;4902;865;0;
99;4451;827;0;
100;4431;826;0;
