POP_NUM;FITNESS
1;3808
2;2257
3;1067
4;518
5;3460
6;887
7;973
8;876
9;1032
10;596
11;4032
12;2458
13;713
14;2286
15;3410
16;668
17;960
18;3727
19;932
20;757
21;640
22;1092
23;690
24;927
25;3097
26;3362
27;3680
28;3277
29;862
30;667
31;3786
32;3753
33;649
34;518
35;3060
36;1170
37;916
38;674
39;885
40;3465
41;744
42;1018
43;1814
44;960
45;1866
46;2225
47;950
48;897
49;962
50;2216
51;951
52;485
53;566
54;844
55;1871
56;702
57;3325
58;745
59;827
60;505
61;3696
62;481
63;1512
64;493
65;3661
66;822
67;626
68;1946
69;843
70;977
71;2408
72;896
73;760
74;565
75;756
76;759
77;719
78;548
79;2316
80;3857
81;3913
82;2119
83;2040
84;3357
85;704
86;2250
87;3572
88;742
89;681
90;649
91;678
92;488
93;670
94;1036
95;838
96;689
97;842
98;1811
99;2842
100;760
101;496
102;817
103;1978
104;3342
105;3329
106;851
107;2193
108;2699
109;1907
110;908
111;1500
112;495
113;648
114;510
115;2944
116;484
117;752
118;3126
119;816
120;519
121;655
122;845
123;1042
124;816
125;902
126;739
127;972
128;1861
129;811
130;2021
131;2112
132;547
133;2048
134;481
135;547
136;874
137;822
138;4202
139;1059
140;1143
141;3633
142;3804
143;916
144;4192
145;541
146;3872
147;694
148;743
149;455
150;894
151;685
152;672
153;653
154;1802
155;709
156;675
157;3061
158;677
159;678
160;558
161;628
162;499
163;1026
164;1044
165;651
166;3596
167;1980
168;679
169;788
170;471
171;2448
172;1936
173;983
174;668
175;3301
176;1193
177;3410
178;3361
179;3127
180;719
181;3501
182;619
183;1702
184;2914
185;652
186;970
187;560
188;883
189;718
190;927
191;507
192;435
193;758
194;892
195;513
196;573
197;872
198;893
199;3725
200;666
201;830
202;692
203;784
204;1063
205;524
206;544
207;2015
208;3560
209;3245
210;948
211;3169
212;3362
213;2798
214;3584
215;808
216;862
217;521
218;549
219;900
220;1077
221;510
222;515
223;644
224;519
225;863
226;597
227;793
228;2263
229;3202
230;1334
231;3240
232;3414
233;466
234;822
235;3711
236;830
237;742
238;789
239;705
240;495
241;521
242;1004
243;2312
244;560
245;782
246;829
247;1894
248;953
249;2844
250;1034
251;2179
252;2332
253;499
254;879
255;780
256;828
257;3674
258;3116
259;676
260;832
261;703
262;3523
263;1139
264;503
265;943
266;2682
267;600
268;854
269;1091
270;952
271;732
272;1946
273;800
274;775
275;3031
276;1092
277;481
278;2181
279;810
280;3081
281;976
282;3265
283;1129
284;1908
285;2364
286;773
287;800
288;943
289;2507
290;527
291;790
292;948
293;977
294;777
295;507
296;693
297;2092
298;695
299;772
300;734
301;607
302;637
303;848
304;507
305;690
306;840
307;990
308;778
309;853
310;1775
311;721
312;2593
313;1682
314;1694
315;3913
316;523
317;890
318;499
319;1685
320;451
321;675
322;858
323;792
324;3095
325;494
326;2167
327;501
328;2731
329;2015
330;3383
331;3507
332;859
333;618
334;660
335;3469
336;778
337;784
338;1153
339;777
340;517
341;822
342;876
343;4035
344;1692
345;602
346;2032
347;703
348;664
349;737
350;952
351;3919
352;881
353;722
354;4248
355;533
356;1099
357;718
358;3895
359;515
360;3224
361;902
362;3099
363;928
364;510
365;1157
366;3866
367;3638
368;691
369;1116
370;2049
371;743
372;642
373;902
374;835
375;605
376;2723
377;738
378;1405
379;488
380;3952
381;892
382;3129
383;958
384;952
385;798
386;501
387;3798
388;3698
389;928
390;759
391;708
392;665
393;3687
394;3389
395;743
396;923
397;2440
398;2666
399;1030
400;984
401;692
402;515
403;3250
404;760
405;854
406;3613
407;972
408;2361
409;3453
410;599
411;2273
412;708
413;923
414;1518
415;856
416;2495
417;772
418;3421
419;696
420;762
421;714
422;3425
423;851
424;474
425;858
426;2304
427;3434
428;3885
429;951
430;487
431;4028
432;1010
433;1007
434;886
435;685
436;1282
437;3530
438;462
439;774
440;3544
441;923
442;2667
443;523
444;712
445;2234
446;3870
447;3117
448;887
449;566
450;2917
451;3007
452;917
453;839
454;825
455;828
456;506
457;954
458;1120
459;1015
460;829
461;886
462;1808
463;640
464;924
465;3117
466;3906
467;474
468;2441
469;470
470;414
471;842
472;1748
473;847
474;2897
475;536
476;2080
477;594
478;816
479;578
480;485
481;3014
482;2624
483;3583
484;3932
485;875
486;675
487;432
488;1000
489;641
490;1008
491;556
492;2314
493;471
494;4180
495;824
496;755
497;523
498;917
499;872
500;532
501;889
502;490
503;857
504;599
505;3320
506;2149
507;676
508;510
509;1045
510;3225
511;922
512;667
513;4190
514;658
515;2079
516;920
517;506
518;3725
519;2603
520;467
521;2954
522;2147
523;439
524;688
525;784
526;741
527;1102
528;973
529;478
530;677
531;2590
532;3546
533;3432
534;808
535;4504
536;1119
537;934
538;1025
539;3979
540;875
541;2299
542;906
543;695
544;766
545;825
546;1552
547;734
548;3687
549;664
550;848
551;869
552;594
553;914
554;777
555;758
556;821
557;521
558;3697
559;918
560;722
561;651
562;2482
563;973
564;843
565;2095
566;1889
567;3665
568;2829
569;815
570;571
571;576
572;849
573;744
574;3698
575;870
576;1584
577;714
578;3760
579;1102
580;967
581;787
582;1590
583;2223
584;1577
585;3091
586;507
587;3038
588;510
589;862
590;451
591;3816
592;607
593;2043
594;512
595;503
596;3164
597;2160
598;2498
599;906
600;2710
601;3100
602;880
603;747
604;2868
605;895
606;3360
607;3149
608;941
609;831
610;692
611;719
612;1120
613;805
614;857
615;875
616;914
617;2263
618;942
619;823
620;509
621;2226
622;995
623;2411
624;992
625;452
626;990
627;751
628;688
629;1698
630;803
631;764
632;517
633;764
634;674
635;889
636;3788
637;3535
638;2969
639;1775
640;3498
641;597
642;2896
643;3404
644;2996
645;3803
646;1040
647;4128
648;409
649;749
650;607
651;454
652;2667
653;1531
654;533
655;724
656;768
657;844
658;660
659;3808
660;518
661;3575
662;4259
663;859
664;3751
665;496
666;478
667;3110
668;608
669;856
670;691
671;692
672;818
673;793
674;815
675;897
676;2171
677;2330
678;640
679;765
680;3514
681;625
682;453
683;678
684;2658
685;470
686;954
687;852
688;751
689;567
690;775
691;476
692;876
693;635
694;563
695;2220
696;4119
697;1575
698;803
699;1820
700;3362
701;2831
702;1709
703;810
704;783
705;672
706;552
707;531
708;922
709;657
710;1063
711;671
712;2712
713;775
714;904
715;746
716;764
717;1813
718;556
719;639
720;871
721;795
722;865
723;3304
724;2057
725;505
726;841
727;2038
728;1892
729;898
730;709
731;3736
732;810
733;916
734;3818
735;718
736;1915
737;739
738;2022
739;641
740;3773
741;4545
742;1631
743;2426
744;769
745;4172
746;3024
747;3953
748;893
749;3582
750;2803
751;4119
752;464
753;3916
754;727
755;1047
756;3259
757;1099
758;488
759;3697
760;1145
761;692
762;965
763;2028
764;809
765;704
766;525
767;552
768;3466
769;636
770;3243
771;430
772;969
773;880
774;799
775;811
776;660
777;1711
778;3055
779;656
780;1189
781;4309
782;822
783;4095
784;495
785;2727
786;691
787;1769
788;883
789;657
790;640
791;1040
792;793
793;768
794;869
795;2470
796;1259
797;3778
798;3700
799;811
800;2001
801;823
802;3805
803;740
804;974
805;536
806;785
807;1011
808;944
809;520
810;666
811;598
812;628
813;2229
814;744
815;898
816;2136
817;776
818;675
819;593
820;467
821;667
822;930
823;850
824;3195
825;816
826;887
827;877
828;688
829;589
830;873
831;2334
832;961
833;1105
834;3171
835;498
836;768
837;2570
838;1884
839;623
840;883
841;878
842;4053
843;856
844;721
845;4106
846;658
847;788
848;901
849;832
850;3446
851;880
852;713
853;931
854;490
855;975
856;3351
857;864
858;792
859;814
860;3169
861;3302
862;3150
863;533
864;3753
865;2348
866;696
867;915
868;2058
869;629
870;713
871;1802
872;890
873;3420
874;929
875;500
876;520
877;4102
878;3592
879;927
880;471
881;871
882;1766
883;473
884;867
885;922
886;989
887;3171
888;2253
889;2249
890;452
891;819
892;519
893;2062
894;543
895;1662
896;3568
897;790
898;964
899;3884
900;532
901;837
902;739
903;811
904;2121
905;2132
906;739
907;3791
908;1259
909;809
910;3347
911;825
912;470
913;791
914;958
915;661
916;540
917;1210
918;911
919;724
920;487
921;832
922;3303
923;863
924;3612
925;491
926;3507
927;1113
928;2377
929;575
930;643
931;788
932;785
933;513
934;724
935;807
936;632
937;3019
938;542
939;668
940;1080
941;2089
942;507
943;747
944;1002
945;1018
946;695
947;854
948;3183
949;662
950;598
951;1032
952;3152
953;816
954;731
955;3298
956;2050
957;452
958;721
959;2879
960;837
961;3495
962;650
963;1222
964;3017
965;3487
966;1776
967;488
968;3270
969;748
970;484
971;1026
972;637
973;474
974;876
975;1082
976;497
977;3317
978;802
979;463
980;415
981;910
982;847
983;2495
984;454
985;753
986;1032
987;779
988;522
989;1725
990;3835
991;2148
992;822
993;982
994;3327
995;475
996;3386
997;557
998;960
999;2361
1000;1072
1001;2450
1002;894
1003;2337
1004;3232
1005;509
1006;904
1007;647
1008;871
1009;780
1010;780
1011;482
1012;494
1013;867
1014;781
1015;3018
1016;842
1017;1065
1018;2637
1019;3233
1020;739
1021;994
1022;3384
1023;809
1024;2186
1025;832
1026;654
1027;760
1028;954
1029;3338
1030;3455
1031;465
1032;620
1033;1870
1034;1865
1035;643
1036;641
1037;468
1038;932
1039;3033
1040;550
1041;2250
1042;514
1043;3650
1044;1692
1045;515
1046;890
1047;762
1048;977
1049;915
1050;698
1051;3226
1052;648
1053;2744
1054;990
1055;991
1056;743
1057;718
1058;798
1059;849
1060;3879
1061;1565
1062;803
1063;756
1064;2028
1065;667
1066;1270
1067;948
1068;936
1069;684
1070;655
1071;1111
1072;3606
1073;847
1074;2720
1075;546
1076;3234
1077;2525
1078;765
1079;4047
1080;485
1081;3727
1082;710
1083;769
1084;635
1085;643
1086;2303
1087;521
1088;533
1089;659
1090;514
1091;962
1092;2073
1093;444
1094;669
1095;920
1096;898
1097;695
1098;580
1099;1715
1100;3706
1101;681
1102;931
1103;495
