GEN_NUMB;ELEMENT;BEST_FITNESS; MID_FITNESS; WORST_FITNESS
1;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;127487;917;0;
2;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;319037;948;0;
3;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;307067;909;0;
4;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;309502;884;0;
5;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;207147;846;0;
6;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;134171;980;0;
7;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;239275;921;0;
8;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;279209;902;0;
9;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;166476;886;0;
10;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;404912;957;0;
11;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;170210;957;0;
12;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;464482;926;0;
13;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;125721;905;0;
14;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;425470;938;0;
15;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;442506;998;0;
16;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;216929;920;0;
17;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;200101;946;0;
18;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;151255;937;0;
19;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;53430;931;0;
20;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;188682;938;0;
21;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;252577;911;0;
22;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;383845;947;0;
23;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;107055;889;0;
24;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;247489;948;0;
25;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;391859;937;0;
26;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;254760;917;0;
27;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;340615;935;0;
28;?0*0.9570671*6,2*0.4332422*6,2*0.3940325*7,0*0.7778375*8,3*1.417426*5;209236;953;0;
