POP_NUM;FITNESS
1;3712
2;3500
3;817
4;714
5;881
6;848
7;647
8;4095
9;667
10;800
11;3517
12;3372
13;2000
14;1207
15;508
16;1055
17;3440
18;727
19;3388
20;473
21;627
22;2373
23;903
24;898
25;863
26;4265
27;4059
28;2050
29;2285
30;874
31;844
32;517
33;764
34;850
35;795
36;992
37;893
38;631
39;666
40;876
41;4672
42;807
43;705
44;557
45;900
46;735
47;3728
48;1184
49;995
50;911
51;1073
52;3558
53;464
54;633
55;844
56;748
57;836
58;703
59;1227
60;1821
61;793
62;809
63;743
64;845
65;1060
66;851
67;496
68;959
69;498
70;765
71;2005
72;618
73;783
74;3626
75;785
76;492
77;2207
78;529
79;785
80;982
81;499
82;2829
83;957
84;3596
85;830
86;2886
87;4126
88;691
89;729
90;2078
91;872
92;3626
93;836
94;1529
95;708
96;1639
97;734
98;885
99;1100
100;3310
101;744
102;640
103;619
104;2145
105;717
106;2122
107;585
108;675
109;686
110;2835
111;416
112;777
113;667
114;1936
115;622
116;629
117;474
118;3910
119;3542
120;829
121;985
122;2096
123;666
124;617
125;991
126;601
127;1048
128;591
129;827
130;1116
131;727
132;2043
133;482
134;714
135;1772
136;538
137;991
138;2867
139;703
140;3524
141;2304
142;568
143;1157
144;687
145;3538
146;686
147;794
148;3835
149;1973
150;3630
151;475
152;632
153;2518
154;3195
155;899
156;660
157;3631
158;1531
159;905
160;3552
161;543
162;787
163;998
164;1041
165;1024
166;503
167;3082
168;871
169;3611
170;513
171;575
172;2128
173;515
174;869
175;1012
176;456
177;2784
178;1775
179;1315
180;1689
181;910
182;932
183;595
184;655
185;783
186;863
187;870
188;3316
189;2110
190;1104
191;1107
192;680
193;3997
194;1079
195;3586
196;2299
197;1803
198;1403
199;512
200;630
201;2150
202;3333
203;648
204;3182
205;474
206;992
207;734
208;2461
209;1495
210;912
211;2653
212;2544
213;668
214;2343
215;810
216;535
217;2238
218;1074
219;668
220;1132
221;629
222;762
223;925
224;869
225;1811
226;876
227;2239
228;858
229;870
230;2189
231;1019
232;4586
233;3233
234;3945
235;492
236;3636
237;544
238;528
239;1017
240;855
241;579
242;2841
243;744
244;2333
245;833
246;1917
247;2102
248;494
249;703
250;637
251;1715
252;621
253;876
254;666
255;655
256;777
257;3603
258;1064
259;3890
260;966
261;683
262;790
263;506
264;819
265;2510
266;880
267;771
268;1106
269;694
270;878
271;482
272;2816
273;3173
274;485
275;980
276;2478
277;971
278;776
279;1057
280;3192
281;857
282;979
283;2903
284;2248
285;772
286;2903
287;451
288;526
289;1944
290;905
291;3473
292;553
293;520
294;797
295;1910
296;1870
297;952
298;3932
299;731
300;486
301;1124
302;997
303;4140
304;828
305;461
306;2547
307;2162
308;1115
309;2639
310;539
311;1936
312;526
313;804
314;760
315;3736
316;701
317;2780
318;827
319;668
320;3197
321;2605
322;492
323;3771
324;694
325;3519
326;873
327;650
328;680
329;832
330;765
