GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;53730;569;0;
2;24158;647;0;
3;4844;626;0;
4;16137;582;0;
5;7763;656;0;
6;12017;563;0;
7;7928;627;0;
8;14475;618;0;
9;11413;638;0;
10;7205;667;0;
11;44856;653;0;
12;13004;636;0;
13;28157;619;0;
14;32851;622;0;
15;12068;624;0;
16;10483;602;0;
17;7238;653;0;
18;26956;631;0;
19;7055;569;0;
20;19469;652;0;
21;27091;625;0;
22;20417;611;0;
23;4746;663;0;
24;28182;664;0;
25;19180;640;0;
26;21234;655;0;
27;23795;681;0;
28;12649;647;0;
29;12407;639;0;
30;20705;627;0;
31;26832;641;0;
32;19084;625;0;
33;11993;663;0;
34;31966;627;0;
35;8284;651;0;
36;13327;649;0;
37;40951;649;0;
38;10640;648;0;
39;17813;676;0;
40;14812;637;0;
41;15073;624;0;
42;6562;635;0;
43;6379;594;0;
44;5776;581;0;
45;6120;611;0;
46;8490;634;0;
47;11316;675;0;
48;7482;667;0;
49;5416;649;0;
50;43911;626;0;
51;33949;651;0;
52;65974;677;0;
53;26562;674;0;
54;8001;633;0;
55;17344;654;0;
56;5072;661;0;
57;5442;652;0;
58;11931;653;0;
59;11396;658;0;
60;51782;640;0;
61;14099;655;0;
62;83861;714;0;
63;5738;664;0;
64;9773;637;0;
65;16698;654;0;
66;16022;649;0;
67;9763;628;0;
68;37899;627;0;
69;4627;661;0;
70;15950;646;0;
71;11385;637;0;
72;9624;633;0;
73;9183;660;0;
74;10817;612;0;
75;25218;601;0;
76;20823;618;0;
77;19104;624;0;
78;17584;628;0;
79;4118;633;0;
80;11077;617;0;
81;28609;629;0;
82;16352;622;0;
83;41769;622;0;
84;6698;637;0;
85;9913;657;0;
86;10992;641;0;
87;13311;619;0;
88;9473;624;0;
89;40107;633;0;
90;21447;634;0;
91;21670;635;0;
92;7128;664;0;
93;37379;624;0;
94;26708;639;0;
95;11947;632;0;
96;7551;629;0;
97;16280;609;0;
98;17559;670;0;
99;67976;677;0;
100;12135;626;0;
101;20820;635;0;
102;13900;611;0;
103;13323;629;0;
104;13553;625;0;
105;58598;677;0;
106;14135;686;0;
107;11858;650;0;
108;25421;605;0;
109;9497;646;0;
110;25617;643;0;
111;7774;649;0;
112;29639;675;0;
113;8228;630;0;
114;16593;661;0;
115;47551;664;0;
116;28865;684;0;
117;10334;630;0;
118;37342;656;0;
119;6150;646;0;
120;32894;647;0;
121;11146;682;0;
122;2914;632;0;
123;8769;638;0;
124;8217;648;0;
125;15323;624;0;
126;20645;671;0;
127;31189;690;0;
128;7285;616;0;
129;6671;644;0;
130;3937;638;0;
131;19936;655;0;
132;24421;635;0;
133;5533;635;0;
134;34378;680;0;
135;35560;650;0;
136;27126;657;0;
137;10781;642;0;
138;39456;634;0;
139;18201;641;0;
140;16130;654;0;
141;31539;612;0;
142;28485;635;0;
143;6397;649;0;
144;28507;660;0;
145;6879;549;0;
146;21457;622;0;
147;32582;609;0;
148;27531;637;0;
149;4383;639;0;
150;9982;575;0;
151;26153;603;0;
152;15891;634;0;
153;21445;659;0;
154;21409;667;0;
155;32464;643;0;
156;29584;666;0;
157;11833;671;0;
158;59606;653;0;
159;24050;642;0;
160;21045;646;0;
161;20762;653;0;
162;19181;655;0;
163;7912;597;0;
164;6603;656;0;
165;17232;642;0;
166;31285;676;0;
167;52140;664;0;
168;13319;641;0;
169;12655;585;0;
170;25995;602;0;
171;13984;634;0;
172;4502;300;0;
173;13618;621;0;
174;34771;664;0;
175;76349;658;0;
176;12241;655;0;
177;15966;612;0;
178;6366;630;0;
179;12137;625;0;
180;15592;636;0;
181;5699;685;0;
182;5021;631;0;
183;40259;627;0;
184;7880;656;0;
185;7013;655;0;
186;14313;642;0;
187;6544;625;0;
188;10836;636;0;
189;9517;632;0;
190;25055;638;0;
191;10373;621;0;
192;29918;667;0;
193;88613;660;0;
194;7284;624;0;
195;4761;640;0;
196;15074;621;0;
197;19299;625;0;
198;18064;648;0;
199;38115;634;0;
200;13026;637;0;
201;29538;635;0;
202;65490;627;0;
203;9933;639;0;
204;31219;636;0;
205;3885;628;0;
206;19358;628;0;
207;16986;621;0;
208;31243;643;0;
209;7097;642;0;
210;19998;630;0;
211;15627;646;0;
212;11519;664;0;
213;18690;645;0;
214;21723;650;0;
215;7561;607;0;
216;9486;628;0;
217;28807;625;0;
218;6546;572;0;
219;26948;667;0;
220;7906;590;0;
221;26244;628;0;
222;17566;631;0;
223;9004;636;0;
224;7768;656;0;
225;8664;646;0;
226;35147;657;0;
227;27650;654;0;
228;18542;649;0;
229;93764;664;0;
230;14410;643;0;
231;10489;615;0;
232;24947;622;0;
233;12182;620;0;
234;11414;606;0;
235;21102;620;0;
236;9507;618;0;
237;4434;633;0;
238;37199;618;0;
239;11138;677;0;
240;30445;637;0;
241;69203;658;0;
242;5344;652;0;
243;7363;626;0;
244;7228;637;0;
245;18672;629;0;
246;28447;585;0;
247;10824;639;0;
248;20293;595;0;
249;23949;627;0;
250;18567;612;0;
251;17713;613;0;
252;23461;586;0;
253;18350;642;0;
254;70522;682;0;
255;32432;631;0;
256;5137;638;0;
257;5713;630;0;
258;37519;650;0;
259;5594;657;0;
260;4280;652;0;
261;28851;645;0;
262;8471;664;0;
263;22346;669;0;
264;28433;644;0;
265;28765;673;0;
266;35528;636;0;
267;3765;651;0;
268;11826;647;0;
269;10928;653;0;
270;29663;624;0;
271;7654;650;0;
272;17640;675;0;
273;28923;659;0;
274;27969;621;0;
275;20629;588;0;
276;9049;656;0;
277;75004;682;0;
278;10107;630;0;
279;11061;663;0;
280;109699;711;0;
281;11165;650;0;
282;16091;654;0;
283;7845;668;0;
284;15866;638;0;
285;9809;616;0;
286;20924;644;0;
287;20411;670;0;
288;20818;680;0;
289;52973;634;0;
290;24125;644;0;
291;57643;652;0;
292;61196;621;0;
293;7357;626;0;
294;37495;641;0;
295;8898;638;0;
296;9530;632;0;
297;5537;515;0;
298;14148;619;0;
299;14058;613;0;
300;9059;588;0;
301;15317;626;0;
302;19367;647;0;
303;13842;653;0;
304;4714;659;0;
305;11491;635;0;
306;9763;664;0;
307;9186;612;0;
308;6256;647;0;
309;31116;626;0;
310;9746;624;0;
311;13120;632;0;
312;17455;626;0;
313;35412;658;0;
314;148840;696;0;
315;11828;632;0;
316;8618;624;0;
