GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;425;310;0;
2;413;320;0;
3;393;326;0;
4;430;308;0;
5;423;319;0;
6;437;340;0;
7;415;310;0;
8;433;326;0;
9;421;320;0;
10;394;307;0;
11;402;306;0;
12;423;315;0;
13;431;326;0;
14;399;325;0;
15;415;309;0;
16;383;293;0;
17;434;325;0;
18;411;299;0;
19;402;275;0;
20;413;309;0;
21;478;319;0;
22;445;326;0;
23;406;326;0;
24;393;263;0;
25;392;321;0;
26;409;252;0;
27;410;324;0;
28;407;309;0;
29;418;326;0;
30;401;301;0;
31;405;333;0;
32;417;255;0;
33;421;326;0;
34;412;320;0;
35;409;317;0;
36;438;295;0;
37;398;318;0;
38;410;318;0;
39;432;320;0;
40;399;303;0;
41;425;326;0;
42;414;311;0;
43;422;317;0;
44;419;317;0;
45;434;327;0;
46;408;298;0;
47;405;317;0;
48;432;318;0;
49;398;317;0;
50;397;313;0;
51;396;319;0;
52;429;314;0;
53;429;318;0;
54;407;327;0;
55;416;299;0;
56;406;310;0;
57;410;275;0;
58;409;324;0;
59;383;314;0;
60;424;319;0;
61;403;311;0;
62;412;295;0;
63;441;308;0;
64;417;316;0;
65;431;329;0;
66;410;274;0;
67;422;325;0;
68;399;283;0;
69;403;311;0;
70;376;281;0;
71;421;322;0;
72;435;323;0;
73;407;322;0;
74;422;306;0;
75;432;316;0;
76;397;304;0;
77;410;271;0;
78;431;327;0;
79;431;299;0;
80;414;293;0;
81;412;316;0;
82;405;330;0;
83;408;310;0;
84;411;286;0;
85;391;324;0;
86;417;314;0;
87;413;313;0;
88;401;308;0;
89;421;325;0;
90;416;312;0;
91;393;287;0;
92;413;308;0;
93;405;300;0;
94;405;322;0;
95;432;311;0;
96;418;313;0;
97;410;318;0;
98;419;305;0;
99;400;312;0;
100;414;307;0;
101;401;312;0;
102;405;313;0;
103;396;283;0;
104;400;285;0;
105;428;275;-3.402823E+38;
106;407;317;0;
107;409;333;0;
108;402;250;0;
109;422;331;-3.402823E+38;
110;425;301;0;
111;407;319;0;
112;397;295;0;
113;425;306;0;
114;416;307;0;
115;402;301;0;
116;399;315;0;
117;417;320;0;
118;407;302;0;
119;408;317;0;
120;411;320;0;
121;402;335;0;
122;407;330;0;
123;419;315;0;
124;434;295;0;
125;414;296;0;
126;427;314;0;
127;440;325;0;
128;438;316;0;
129;417;323;0;
130;395;284;0;
131;401;313;0;
132;405;296;0;
133;393;312;0;
134;382;327;0;
135;406;315;0;
136;417;312;0;
137;422;320;0;
138;424;311;0;
139;399;281;0;
140;408;321;0;
141;425;307;0;
142;420;310;0;
143;423;313;0;
144;426;318;0;
145;408;317;0;
146;400;268;0;
147;419;314;0;
148;408;279;0;
149;433;314;0;
150;391;313;0;
151;410;295;0;
152;400;310;0;
153;391;263;0;
154;429;321;0;
155;399;310;0;
156;421;299;0;
157;399;328;0;
158;398;305;0;
159;409;329;0;
160;436;310;0;
161;412;328;0;
162;408;267;0;
163;418;313;0;
164;405;322;0;
165;427;326;0;
166;398;299;-3.402823E+38;
167;415;318;0;
168;412;284;0;
169;401;322;0;
170;391;303;0;
171;407;309;0;
172;403;313;0;
173;396;300;0;
174;391;304;0;
175;417;316;0;
176;407;309;0;
177;404;312;0;
178;404;320;0;
179;411;327;0;
180;405;292;0;
181;401;310;0;
182;396;312;0;
183;420;311;0;
184;401;321;0;
185;401;313;0;
186;411;321;0;
187;422;302;0;
188;407;314;0;
189;391;297;0;
190;406;318;0;
191;407;284;0;
192;416;312;0;
193;412;323;-3.402823E+38;
194;403;329;0;
195;430;323;0;
196;416;316;0;
197;430;323;0;
198;417;320;0;
199;398;315;0;
200;407;306;0;
201;409;326;0;
202;417;277;0;
203;404;320;0;
204;414;272;0;
205;410;307;0;
206;422;315;-3.402823E+38;
207;415;325;0;
208;401;319;0;
209;411;326;0;
210;425;289;0;
211;403;327;0;
212;400;316;0;
213;418;298;0;
214;405;317;0;
215;398;255;0;
216;420;327;0;
217;405;311;0;
218;438;318;0;
219;411;328;0;
220;408;238;0;
221;408;320;0;
222;405;307;0;
223;394;312;0;
224;395;305;0;
225;398;310;0;
226;397;251;0;
227;408;328;0;
228;398;278;0;
229;431;313;0;
230;430;301;0;
231;410;325;0;
232;398;235;0;
233;402;304;0;
234;395;247;0;
235;423;328;0;
236;423;314;-3.402823E+38;
237;405;296;0;
238;411;307;0;
239;403;277;0;
240;411;308;0;
241;398;320;0;
242;405;306;0;
243;405;324;0;
244;393;261;0;
245;442;326;0;
246;403;280;0;
247;398;311;0;
248;414;325;0;
249;377;275;0;
250;409;311;0;
251;411;286;0;
252;402;322;-3.402823E+38;
253;394;313;0;
254;403;317;0;
255;403;312;0;
256;409;302;-3.402823E+38;
257;401;307;0;
258;385;311;0;
259;408;296;0;
260;407;267;0;
261;403;305;0;
262;419;310;0;
263;421;321;0;
264;418;306;0;
265;414;316;0;
266;417;316;0;
267;408;314;0;
268;406;304;0;
269;439;318;0;
270;408;283;-3.402823E+38;
271;418;300;0;
272;400;306;-3.402823E+38;
273;408;319;0;
274;388;252;0;
275;414;318;0;
276;424;316;0;
277;402;315;0;
278;402;317;0;
279;408;306;0;
280;401;328;0;
281;438;281;0;
282;415;310;0;
283;395;323;0;
284;387;318;0;
285;397;316;0;
286;422;322;0;
287;383;320;0;
288;420;314;0;
289;413;281;0;
290;429;308;0;
291;407;332;0;
292;409;322;0;
293;410;271;-3.402823E+38;
294;416;327;0;
295;413;261;0;
296;422;318;0;
297;416;326;0;
298;410;313;0;
299;424;326;0;
300;412;283;0;
301;437;313;0;
302;429;322;0;
303;426;320;0;
304;399;311;0;
305;435;322;0;
306;406;289;0;
307;424;310;0;
308;394;306;0;
309;392;294;0;
310;391;297;0;
311;386;321;0;
312;403;330;0;
313;396;307;0;
314;418;325;0;
315;425;303;0;
316;387;299;0;
317;398;320;0;
318;404;318;0;
319;399;321;0;
320;394;305;0;
321;437;277;-3.402823E+38;
322;417;326;0;
323;412;312;0;
324;422;320;0;
325;411;329;0;
326;398;308;0;
327;398;296;0;
328;417;316;0;
329;402;325;0;
330;402;294;0;
331;413;322;0;
332;410;271;0;
333;412;292;0;
334;411;318;0;
335;410;330;0;
336;392;316;0;
337;404;319;0;
338;416;293;0;
339;388;325;0;
340;399;297;0;
341;414;323;0;
342;437;317;0;
343;403;325;0;
344;410;298;0;
345;403;316;0;
346;406;308;0;
347;416;315;0;
348;435;325;0;
349;428;308;0;
350;413;295;0;
351;408;335;0;
352;405;310;0;
353;444;299;0;
354;434;316;0;
355;409;312;0;
356;409;315;0;
357;401;305;0;
358;416;314;0;
359;411;325;0;
360;416;318;0;
361;430;317;0;
362;439;325;0;
363;426;292;0;
364;398;284;0;
365;410;308;0;
366;406;331;0;
367;420;322;0;
368;410;321;0;
369;415;306;0;
370;402;303;0;
371;391;310;0;
372;413;313;0;
373;416;298;0;
374;435;291;0;
375;405;291;0;
376;393;308;0;
377;405;319;0;
378;414;313;0;
379;388;312;0;
380;400;303;0;
381;401;305;0;
382;391;319;0;
383;427;323;0;
384;396;324;0;
385;409;292;0;
386;410;330;0;
387;411;286;0;
388;416;305;0;
389;426;291;0;
390;398;306;0;
391;404;280;0;
392;406;325;0;
393;394;292;0;
394;412;303;-3.402823E+38;
395;428;325;0;
396;417;325;0;
397;399;310;0;
398;410;266;0;
399;441;330;0;
400;415;321;0;
401;411;312;0;
402;406;318;0;
403;406;323;0;
404;413;311;0;
405;398;326;0;
406;413;329;0;
407;388;300;0;
408;430;304;0;
409;406;319;0;
410;417;311;0;
411;429;316;0;
412;393;320;0;
413;451;317;0;
414;421;325;0;
415;404;315;0;
416;423;304;0;
417;443;322;-3.402823E+38;
418;407;249;0;
419;434;325;0;
420;401;306;0;
421;414;298;0;
422;409;327;0;
423;405;302;0;
424;405;327;0;
425;398;315;0;
426;394;317;0;
427;416;296;0;
428;388;287;0;
429;421;305;0;
430;419;303;0;
431;408;321;0;
432;404;317;0;
433;422;330;0;
434;417;273;0;
435;422;312;-3.402823E+38;
436;403;305;0;
437;406;309;0;
438;409;263;0;
439;386;313;0;
440;402;298;0;
441;408;304;0;
442;394;302;0;
443;411;310;0;
444;393;295;0;
445;412;316;0;
446;449;323;0;
447;408;309;0;
448;406;330;0;
449;378;293;0;
450;414;315;0;
451;399;258;0;
452;423;337;0;
453;390;293;0;
454;426;321;0;
455;430;311;0;
456;397;302;0;
457;401;319;0;
458;416;329;0;
459;388;311;0;
460;401;254;0;
461;388;316;0;
462;402;321;0;
463;402;324;0;
464;400;309;0;
465;407;310;0;
466;392;294;0;
467;408;312;0;
468;384;297;0;
469;414;313;0;
470;412;299;0;
471;398;295;0;
472;407;317;0;
473;434;326;0;
474;410;310;0;
475;420;318;0;
476;413;304;0;
477;425;321;0;
478;415;296;0;
479;413;312;0;
480;420;289;0;
481;438;319;0;
482;446;321;0;
483;402;307;0;
484;405;317;0;
485;410;277;0;
486;408;324;0;
487;410;259;0;
488;402;307;0;
489;398;311;0;
490;399;299;0;
491;424;277;0;
492;406;311;0;
493;406;268;0;
494;408;308;0;
495;399;297;0;
496;402;314;0;
497;420;306;0;
498;426;300;0;
499;382;252;0;
500;406;326;-3.402823E+38;
501;403;304;0;
502;395;290;0;
503;401;321;0;
504;420;297;0;
505;400;314;0;
506;404;299;0;
507;412;306;0;
508;425;318;0;
509;417;316;0;
510;447;339;0;
511;419;308;0;
512;414;319;0;
513;414;251;0;
514;406;321;0;
515;403;284;0;
516;404;317;0;
517;467;286;0;
518;415;316;0;
519;402;321;0;
520;412;313;0;
521;400;330;0;
522;400;328;0;
523;402;269;0;
524;410;306;0;
525;426;305;0;
526;385;267;-3.402823E+38;
527;417;324;0;
528;426;318;0;
529;399;332;0;
530;399;329;0;
531;454;259;0;
532;414;305;0;
533;431;285;0;
534;410;315;0;
535;397;243;0;
536;390;296;0;
537;397;303;0;
538;459;315;0;
539;424;322;0;
540;415;312;0;
541;397;317;0;
542;450;313;0;
543;398;300;0;
544;421;316;0;
545;449;334;0;
546;397;300;0;
547;400;305;0;
548;422;286;0;
549;395;316;0;
550;411;277;0;
551;424;312;0;
552;446;301;0;
553;422;325;0;
554;415;306;0;
555;426;320;0;
556;407;313;0;
557;429;334;0;
558;400;310;0;
559;379;292;0;
560;433;306;0;
561;414;326;0;
562;415;293;0;
563;436;308;0;
564;400;284;0;
565;420;318;0;
566;401;286;-3.402823E+38;
567;405;304;0;
568;397;301;0;
569;409;303;0;
570;406;304;0;
571;389;298;0;
572;414;323;0;
573;414;285;0;
574;421;318;0;
575;398;310;0;
576;418;315;0;
577;419;318;0;
578;410;322;0;
579;409;294;0;
580;400;297;0;
581;419;305;0;
582;402;288;0;
583;421;332;-3.402823E+38;
584;414;258;0;
585;419;313;0;
586;415;324;0;
587;412;319;-3.402823E+38;
588;436;299;0;
589;417;309;0;
590;423;328;0;
591;429;304;0;
592;419;319;0;
593;421;319;0;
594;426;310;0;
595;409;324;0;
596;430;323;0;
597;390;323;0;
598;418;263;0;
599;399;307;0;
600;406;324;0;
601;401;287;0;
602;421;311;0;
603;432;318;0;
604;433;316;0;
605;413;307;0;
606;415;322;0;
607;414;309;-3.402823E+38;
608;391;331;0;
609;391;315;0;
610;396;320;0;
611;408;268;0;
612;390;290;0;
613;386;312;0;
614;402;301;0;
615;426;309;0;
616;410;297;-3.402823E+38;
617;405;262;0;
618;412;316;0;
619;404;302;0;
620;427;314;0;
621;382;295;0;
622;397;283;0;
623;411;273;0;
624;391;310;0;
625;426;304;0;
626;409;321;0;
627;416;328;0;
628;404;290;0;
629;391;313;0;
630;394;326;0;
631;410;319;0;
632;425;274;0;
633;402;318;0;
634;399;316;0;
635;389;297;0;
636;423;330;0;
637;395;302;0;
638;419;320;0;
639;397;299;0;
640;425;318;0;
641;421;324;0;
642;445;323;0;
643;405;319;0;
644;387;277;0;
645;414;279;0;
646;402;293;0;
647;404;317;0;
648;409;317;0;
649;412;313;0;
650;416;305;0;
651;416;322;0;
652;399;291;0;
653;430;316;0;
654;426;330;0;
655;409;321;0;
656;409;307;0;
657;405;308;0;
658;396;303;0;
659;408;318;0;
660;405;323;0;
661;405;309;0;
662;379;320;0;
663;429;303;0;
664;407;314;0;
665;419;278;0;
666;421;319;0;
667;401;305;0;
668;407;302;0;
669;412;316;0;
670;413;269;0;
671;429;303;0;
672;401;315;0;
673;422;306;0;
674;386;323;0;
675;399;308;0;
676;405;325;0;
677;384;290;0;
678;406;295;0;
679;408;287;0;
680;455;321;0;
681;422;306;0;
682;415;310;0;
683;413;275;0;
684;437;300;0;
685;412;258;0;
686;417;305;0;
687;401;311;0;
688;419;297;0;
689;403;308;0;
690;396;317;0;
691;438;306;0;
692;401;317;0;
693;399;320;0;
694;416;269;0;
695;407;328;0;
696;394;316;0;
697;400;303;0;
698;430;320;0;
699;409;329;0;
700;406;292;0;
701;410;313;0;
702;405;292;0;
703;415;311;0;
704;415;319;0;
705;434;310;0;
706;430;274;0;
707;424;322;0;
708;418;316;-3.402823E+38;
709;389;302;0;
710;442;312;0;
711;415;306;0;
712;408;273;0;
713;434;316;0;
714;395;310;0;
715;391;320;0;
716;427;279;0;
717;440;311;0;
718;400;316;-3.402823E+38;
719;405;311;0;
720;399;268;0;
721;431;314;0;
722;408;313;0;
723;417;315;0;
724;406;311;0;
725;406;305;0;
726;413;312;0;
727;412;288;0;
728;404;320;0;
729;386;263;0;
730;418;273;0;
731;409;316;0;
732;422;327;0;
733;404;293;0;
734;412;315;0;
735;395;303;0;
736;416;315;0;
737;424;299;0;
738;451;287;0;
739;393;276;0;
740;406;307;0;
741;391;294;0;
742;404;298;0;
743;468;315;0;
744;408;317;0;
745;390;301;0;
746;405;296;0;
747;420;322;0;
748;410;293;0;
749;402;307;0;
750;431;303;0;
751;409;307;0;
752;394;292;0;
753;395;318;0;
754;425;303;0;
755;393;316;0;
756;414;310;0;
757;398;322;0;
758;399;304;0;
759;434;312;0;
760;426;291;0;
761;419;321;0;
762;401;282;0;
763;423;298;0;
764;414;282;0;
765;411;324;0;
766;404;294;0;
767;416;312;0;
768;422;300;0;
769;432;315;0;
770;411;305;0;
771;390;296;0;
772;400;277;0;
773;407;325;0;
774;403;323;0;
775;440;317;0;
776;403;299;0;
777;408;327;0;
778;407;316;0;
779;406;318;0;
780;400;307;0;
781;422;309;0;
782;400;308;0;
783;418;322;0;
784;402;311;0;
785;402;306;0;
786;410;312;0;
787;435;303;0;
788;419;300;0;
789;415;318;0;
790;401;307;0;
791;408;315;0;
792;437;316;0;
793;403;320;0;
794;402;312;0;
795;396;296;0;
796;434;304;0;
797;394;320;0;
798;399;319;0;
799;396;304;0;
800;392;309;0;
801;408;310;0;
802;402;296;0;
803;404;255;0;
804;413;294;0;
805;391;283;0;
806;404;320;0;
807;415;330;0;
808;423;280;0;
809;436;323;0;
810;419;322;0;
811;392;325;0;
812;410;272;0;
813;409;317;0;
814;420;316;0;
815;397;307;0;
816;437;291;0;
817;414;326;0;
818;414;298;0;
819;424;306;0;
820;406;307;0;
821;387;306;0;
822;399;281;0;
823;421;298;0;
824;419;301;0;
825;423;303;0;
826;405;291;0;
827;400;272;0;
828;400;253;0;
829;413;311;0;
830;395;290;0;
831;419;297;0;
832;428;293;0;
833;438;305;0;
834;406;316;0;
835;409;330;0;
836;411;294;0;
837;422;327;0;
838;401;302;0;
839;427;298;0;
840;403;280;0;
841;410;275;0;
842;431;318;0;
843;420;248;0;
844;418;302;0;
845;401;283;0;
846;397;313;0;
847;413;244;0;
848;413;293;0;
849;411;294;0;
850;426;263;0;
851;404;328;0;
852;394;285;0;
853;415;298;0;
854;395;288;0;
855;404;270;0;
856;414;309;0;
857;419;299;0;
858;401;270;0;
859;396;281;0;
860;391;296;0;
861;404;317;0;
862;406;301;0;
863;396;271;0;
864;426;299;0;
865;427;286;0;
866;423;274;0;
867;390;315;0;
868;405;315;0;
869;393;297;0;
870;404;315;0;
871;417;290;0;
872;419;309;0;
873;411;307;0;
874;407;311;0;
875;420;302;0;
876;440;317;0;
877;413;305;0;
878;386;307;0;
879;433;287;0;
880;400;323;0;
881;416;274;0;
882;386;295;0;
883;403;280;0;
884;409;315;0;
885;409;305;0;
886;400;300;0;
887;405;274;0;
888;418;306;0;
889;398;330;0;
890;414;293;0;
891;429;291;0;
892;410;319;0;
893;416;313;0;
894;424;330;0;
895;406;328;0;
896;407;333;0;
897;397;288;0;
898;389;284;0;
899;423;311;0;
900;419;287;0;
901;416;297;0;
902;399;293;0;
903;403;303;0;
904;414;307;0;
905;396;319;0;
906;392;267;0;
907;405;335;0;
908;414;295;0;
909;434;312;0;
910;410;311;0;
911;399;290;0;
912;569;308;0;
913;400;304;0;
914;440;317;0;
915;401;278;0;
916;413;332;0;
917;400;328;0;
918;400;306;0;
919;403;314;0;
920;401;320;0;
921;418;320;0;
922;414;294;0;
923;410;290;0;
924;378;268;0;
925;411;312;0;
926;404;302;0;
927;408;283;0;
928;417;278;0;
929;416;305;0;
930;404;283;0;
931;426;321;0;
