GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;16442;100;0;
2;15006;621;0;
3;46344;545;0;
4;18610;557;0;
5;11277;605;0;
6;3720;619;0;
7;57709;653;0;
8;17833;649;0;
9;6028;616;0;
10;18568;638;0;
11;14438;650;0;
12;12466;617;0;
13;13258;658;0;
14;42743;650;0;
15;8854;670;0;
16;18810;639;0;
17;13189;628;0;
18;31146;642;0;
19;18243;655;0;
20;12132;639;0;
21;50912;653;0;
22;12848;659;0;
23;6218;658;0;
24;7815;650;0;
25;18530;638;0;
26;7410;652;0;
27;8006;628;0;
28;11007;659;0;
29;9664;656;0;
30;5051;655;0;
31;10999;664;0;
32;10979;662;0;
33;12025;688;0;
34;17095;647;0;
35;14454;642;0;
36;16290;650;0;
37;9430;619;0;
38;19614;601;0;
39;18024;567;0;
40;16944;615;0;
41;17698;644;0;
42;7018;663;0;
43;21353;706;0;
44;14573;651;0;
45;19875;670;0;
46;23680;659;0;
47;34603;690;0;
48;28205;621;0;
49;18744;650;0;
50;18951;653;0;
51;19159;663;0;
52;14012;667;0;
53;59637;653;0;
54;9554;704;0;
55;6811;669;0;
56;29703;651;0;
57;10152;620;0;
58;37258;610;0;
59;5679;657;0;
60;15706;675;0;
61;3304;692;0;
62;6851;645;0;
63;85995;671;0;
64;83124;637;0;
65;33048;614;0;
66;43177;627;0;
67;11547;634;0;
68;6693;640;0;
69;16399;644;0;
70;16994;648;0;
71;16258;647;0;
72;11054;614;0;
73;11821;636;0;
74;33821;609;0;
75;21810;651;0;
76;7202;643;0;
77;14865;651;0;
78;25187;684;0;
79;19972;653;0;
80;6260;647;0;
81;6072;650;0;
82;41753;692;0;
83;12307;659;0;
84;8612;634;0;
85;17235;645;0;
86;10285;616;0;
87;53467;609;0;
88;8207;661;0;
89;35814;676;0;
90;4263;638;0;
91;4649;637;0;
92;5219;669;0;
93;26835;632;0;
94;13428;606;0;
95;38714;635;0;
96;4570;657;0;
97;95842;662;0;
98;7580;669;0;
99;8217;651;0;
100;8043;647;0;
101;5079;647;0;
102;9238;665;0;
103;9313;658;0;
104;8056;682;0;
105;30140;680;0;
106;13202;663;0;
107;10927;649;0;
108;7002;682;0;
109;41800;646;0;
110;10519;631;0;
111;9999;646;0;
112;19679;649;0;
113;14961;668;0;
114;6312;651;0;
115;15406;654;0;
116;8822;635;0;
117;20089;679;0;
118;12228;646;0;
119;12823;637;0;
120;32972;643;0;
121;9205;629;0;
122;8940;654;0;
123;146242;719;0;
124;4963;645;0;
125;24263;688;0;
126;8208;632;0;
127;20899;644;0;
128;6662;642;0;
129;5847;656;0;
130;22058;627;0;
131;10673;676;0;
132;19969;651;0;
133;17650;667;0;
134;9706;655;0;
135;9041;656;0;
136;65381;673;0;
137;14955;686;0;
138;15112;668;0;
139;86968;640;0;
140;27215;639;0;
141;21231;644;0;
142;6163;610;0;
143;60919;671;0;
144;5520;623;0;
145;12296;647;0;
146;10620;653;0;
147;11919;631;0;
148;30058;636;0;
149;9155;642;0;
150;26171;664;0;
151;8233;651;0;
152;22817;642;0;
153;17040;615;0;
154;11726;627;0;
155;12555;621;0;
156;14574;620;0;
157;8868;659;0;
158;4689;633;0;
159;8133;638;0;
160;14391;649;0;
161;8499;640;0;
162;10461;644;0;
163;7963;634;0;
164;21389;649;0;
165;45857;604;0;
166;27596;635;0;
167;25477;668;0;
168;10696;659;0;
169;27771;635;0;
170;20355;617;0;
171;16958;645;0;
172;10657;610;0;
173;7257;659;0;
174;19870;623;0;
175;34862;641;0;
176;13056;650;0;
177;91610;646;0;
178;6165;621;0;
179;11266;632;0;
180;34909;634;0;
181;23484;645;0;
182;9349;690;0;
183;61687;647;0;
184;20606;651;0;
185;20209;640;0;
186;29246;647;0;
187;6638;677;0;
188;54621;638;0;
189;16767;639;0;
190;10146;663;0;
191;20685;635;0;
192;4745;674;0;
193;17005;661;0;
194;78717;686;0;
195;19949;677;0;
196;15233;633;0;
197;15705;658;0;
198;11932;653;0;
199;10722;651;0;
200;6686;661;0;
201;7068;636;0;
202;61711;632;0;
203;17538;646;0;
204;7098;638;0;
205;14252;634;0;
206;12736;662;0;
207;9360;631;0;
208;72638;698;0;
209;7927;652;0;
210;14200;652;0;
211;4674;637;0;
212;12396;645;0;
213;19272;662;0;
214;11539;639;0;
215;11323;640;0;
216;12522;655;0;
217;40671;644;0;
218;12295;630;0;
219;37444;635;0;
220;3617;649;0;
221;26893;656;0;
222;23347;646;0;
223;67754;645;0;
224;7398;648;0;
225;21145;653;0;
226;4959;656;0;
227;21233;636;0;
228;14695;663;0;
229;7608;671;0;
230;29591;663;0;
231;3814;662;0;
232;7210;637;0;
233;26304;655;0;
234;24694;658;0;
235;19802;632;0;
236;29742;648;0;
237;40570;647;0;
238;9673;647;0;
