GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;3966;637;0;
2;4184;645;0;
3;3885;648;0;
4;3677;576;0;
5;3699;646;0;
6;3869;604;0;
7;3900;658;0;
8;4276;662;0;
9;4285;611;0;
10;4117;665;0;
11;3908;604;0;
12;4054;654;0;
13;3535;652;0;
14;3889;645;0;
15;4039;665;0;
16;3611;616;0;
17;3636;689;0;
18;3842;670;0;
19;3888;636;0;
20;4450;654;0;
21;4370;647;0;
22;3744;631;0;
23;4578;670;0;
24;4172;639;0;
25;4151;634;0;
26;3829;643;0;
27;3730;640;0;
28;4227;660;0;
29;4270;626;-3.402823E+38;
30;3758;655;0;
31;3802;684;0;
32;3819;652;0;
33;4215;664;0;
34;3894;634;0;
35;4195;673;0;
36;4295;661;0;
37;4279;641;0;
38;3960;654;0;
39;3929;669;0;
40;4184;635;0;
41;4051;624;0;
42;3822;648;0;
43;4156;655;0;
44;3745;646;0;
45;4391;679;0;
46;4309;643;0;
47;4267;643;0;
48;3903;644;0;
49;3733;635;0;
50;4276;642;0;
51;3863;674;0;
52;4057;683;0;
53;4247;629;0;
54;4643;615;0;
55;3829;590;0;
56;3900;647;0;
57;3708;674;0;
58;3653;586;0;
59;4272;656;0;
60;3987;646;0;
61;4098;654;0;
62;4094;698;0;
63;4200;654;0;
64;3875;669;0;
65;3993;628;0;
66;3816;655;0;
67;3886;644;0;
68;4395;615;0;
69;4002;683;0;
70;3987;637;0;
71;4564;665;0;
72;4297;654;0;
73;4762;679;0;
74;4125;677;0;
75;4043;651;0;
76;3759;652;0;
77;3882;623;0;
78;4092;655;0;
79;4065;631;0;
80;4482;678;0;
81;4284;669;0;
82;3750;649;0;
83;3788;677;0;
84;4397;644;0;
85;3638;642;0;
86;4045;675;0;
87;4185;638;0;
88;4011;710;0;
89;4606;648;0;
90;3833;639;0;
91;4081;633;0;
92;3768;691;0;
93;4105;619;0;
94;3920;640;0;
95;4078;623;0;
96;4072;679;0;
97;4260;596;0;
98;4133;652;0;
99;4024;647;0;
100;4114;620;0;
101;4027;644;0;
102;3984;618;0;
103;4966;673;0;
104;4294;647;0;
105;4403;645;0;
106;3944;656;0;
107;3971;718;0;
108;3853;639;0;
109;4429;654;0;
110;3973;640;0;
111;3773;617;0;
112;3865;634;0;
113;4413;683;0;
114;3708;667;0;
115;3810;668;0;
116;3891;632;0;
117;3585;639;-3.402823E+38;
118;4028;663;0;
119;3885;677;0;
120;4236;682;0;
121;4022;658;0;
122;3877;689;0;
123;3936;639;0;
124;4346;661;0;
125;3973;670;0;
126;4078;650;0;
127;3886;675;0;
128;4460;651;0;
129;4284;675;0;
130;4247;676;0;
131;3639;676;0;
132;3984;669;0;
133;3633;629;0;
134;3703;653;0;
135;4148;670;0;
136;3511;648;0;
137;4092;643;0;
138;4013;619;0;
139;3707;682;0;
140;4406;607;0;
141;4110;644;0;
142;4027;654;0;
143;3889;627;0;
144;3756;618;0;
145;3785;666;0;
146;4135;667;0;
147;4369;690;0;
148;4029;635;0;
149;3914;620;0;
150;4230;650;0;
151;4094;650;0;
152;4257;643;0;
153;4146;647;0;
154;3818;668;0;
155;4266;599;0;
156;3651;680;0;
157;3889;701;0;
158;4545;660;0;
159;3886;671;0;
160;3705;655;0;
161;3896;669;0;
162;4705;629;0;
163;3677;630;0;
164;4248;647;0;
165;4125;664;0;
166;4341;674;0;
167;3913;668;0;
168;4571;688;0;
169;3958;645;0;
170;4124;643;0;
171;3855;658;0;
172;4009;682;0;
173;3698;635;0;
174;3912;654;0;
175;4178;616;0;
176;4023;675;0;
177;3823;678;0;
178;3916;621;0;
179;4209;657;0;
180;3913;642;0;
181;4211;649;0;
182;4185;626;0;
183;4252;675;0;
184;3586;639;0;
185;3811;626;0;
186;3941;671;0;
187;4418;626;0;
188;4497;630;0;
189;3884;641;0;
190;3591;630;0;
191;4619;684;0;
192;4356;662;0;
193;4107;675;0;
194;3665;649;0;
195;4348;678;0;
196;4201;660;0;
197;3885;616;0;
198;4677;619;0;
199;4106;604;0;
200;4016;627;0;
201;3933;659;0;
202;3989;637;0;
203;3965;653;0;
204;3883;689;0;
205;3771;655;0;
206;3986;637;0;
207;4106;618;0;
208;4205;646;0;
209;3978;636;0;
210;3926;624;0;
211;3611;626;0;
212;4384;639;0;
213;3461;659;0;
214;3879;680;0;
215;3864;635;0;
216;3998;643;0;
217;4193;634;0;
218;3857;630;0;
219;4322;626;0;
220;4406;658;0;
221;4215;631;0;
222;3736;669;0;
223;3737;622;0;
224;4013;675;0;
225;4165;661;0;
226;4181;654;0;
227;3516;634;0;
228;4197;663;0;
229;3826;643;0;
230;3836;667;0;
231;4051;627;0;
232;3931;616;0;
233;3564;625;0;
234;3961;669;0;
235;4507;652;0;
236;3891;626;0;
237;4657;652;0;
238;4033;599;0;
239;4467;582;0;
240;3949;627;0;
241;4364;663;0;
242;4219;637;0;
243;4139;638;0;
244;4119;650;0;
245;3850;664;0;
246;3805;598;0;
247;4073;644;0;
248;4627;630;0;
249;3995;634;0;
250;4267;674;0;
251;3721;653;0;
252;3514;636;0;
253;3948;653;0;
254;3760;626;0;
255;4231;646;0;
256;3816;644;0;
257;4515;639;0;
258;3675;676;0;
259;4070;671;0;
