GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;4089;645;0;
2;3803;636;0;
3;3995;632;0;
4;3899;625;0;
5;3775;630;0;
6;4055;610;0;
7;3415;626;0;
8;3796;601;0;
9;3833;586;0;
10;4128;658;0;
11;3794;577;0;
12;4360;628;0;
13;4375;637;0;
14;3969;598;0;
15;3857;632;0;
16;4062;692;0;
17;3907;629;0;
18;4585;633;0;
19;3631;648;0;
20;4165;651;0;
21;3683;640;0;
22;4265;635;0;
23;3975;616;0;
24;4293;642;0;
25;3842;650;0;
26;4192;602;0;
27;3759;617;0;
28;3946;628;0;
29;3929;634;0;
30;4025;633;0;
31;3971;653;0;
32;3838;627;0;
33;3853;609;0;
34;4189;676;0;
35;3327;648;0;
36;4025;652;0;
37;4042;642;0;
38;3584;646;0;
39;4057;633;-3.402823E+38;
40;4190;632;0;
41;3980;642;0;
42;3738;631;0;
43;3726;592;0;
44;4279;672;0;
45;4102;650;0;
46;4020;661;0;
47;4137;616;0;
48;3779;647;0;
49;4475;659;0;
50;4109;648;0;
51;4430;656;0;
52;4198;615;0;
53;3772;673;0;
54;3888;647;0;
55;3926;632;0;
56;4340;640;0;
57;3684;637;0;
58;3939;672;0;
59;3994;623;0;
60;3995;621;0;
61;3360;642;0;
62;4312;634;0;
63;3742;621;0;
64;4033;646;0;
65;3862;634;0;
66;4220;619;0;
67;4635;661;0;
68;4164;616;0;
69;4080;629;0;
70;3784;662;0;
71;4267;639;0;
72;4521;665;-3.402823E+38;
73;3979;680;0;
74;4748;669;0;
75;4046;645;0;
76;3923;679;0;
77;4013;666;0;
78;4327;628;0;
79;3756;647;0;
80;3606;620;-3.402823E+38;
81;3769;625;0;
82;4213;649;0;
83;4163;624;0;
84;3730;674;0;
85;4239;606;0;
86;3754;645;0;
87;4131;621;0;
88;4480;633;0;
89;4328;651;0;
90;3789;622;0;
91;4139;621;0;
92;4178;686;0;
93;3891;643;0;
94;4476;626;0;
95;3611;629;0;
96;4320;636;0;
97;3832;667;0;
98;4417;579;0;
99;3398;658;0;
100;3739;661;0;
101;3797;640;0;
102;4207;635;0;
103;4121;623;0;
104;4126;623;0;
105;3795;624;0;
106;3907;646;0;
107;4172;646;0;
108;4141;639;0;
109;4024;606;0;
110;4155;646;0;
111;4415;659;0;
112;3547;612;0;
113;4246;651;0;
114;3791;680;0;
115;3662;617;0;
116;3994;605;0;
117;3779;608;0;
118;4029;642;0;
119;3676;634;0;
120;3380;641;0;
121;4087;633;0;
122;3848;635;0;
123;4995;633;0;
124;3753;640;0;
125;3571;592;0;
126;4472;652;0;
127;3729;625;0;
128;4038;620;-3.402823E+38;
129;4314;619;0;
130;4103;629;0;
131;4030;636;0;
132;3737;678;0;
133;3818;641;0;
134;4081;649;0;
135;3992;603;0;
136;3860;640;0;
137;4548;646;0;
138;4130;626;0;
139;4420;667;0;
140;4156;640;0;
141;4003;631;0;
142;3965;648;0;
143;4097;627;0;
144;4413;656;0;
145;3596;665;0;
146;4172;675;0;
147;4214;610;0;
148;3545;592;0;
149;4002;608;0;
150;4010;639;0;
151;3734;648;0;
152;3767;591;0;
153;4394;620;0;
154;3959;656;0;
155;4030;613;0;
156;4188;620;0;
157;3904;630;0;
158;4019;616;0;
159;3945;692;0;
160;3868;606;0;
161;4003;616;0;
162;4238;651;0;
163;3816;619;0;
164;4214;643;0;
165;3814;651;0;
166;4181;654;0;
167;3920;647;0;
168;3792;630;0;
169;3828;606;0;
170;3996;653;0;
171;3674;647;0;
172;3827;608;0;
173;4204;635;0;
174;4022;597;0;
175;4473;646;0;
176;4000;604;0;
177;3900;694;0;
178;3849;611;0;
179;4487;638;0;
180;4069;683;0;
181;4099;660;0;
182;4403;651;0;
183;3890;674;0;
184;4302;630;0;
185;3770;642;0;
186;3989;636;0;
187;4217;641;0;
188;4261;619;0;
189;4379;677;0;
190;4142;609;0;
191;3666;605;0;
192;3639;634;0;
193;4225;691;0;
194;4116;596;0;
195;4317;648;0;
196;3911;633;0;
197;4469;648;0;
198;3945;608;0;
199;3817;630;0;
200;3966;624;0;
201;4178;612;0;
202;3712;626;0;
203;4190;712;0;
204;3894;647;0;
205;4087;626;0;
206;3823;611;0;
207;4313;604;0;
208;4682;630;0;
209;3770;627;0;
210;3913;633;0;
211;4153;673;-3.402823E+38;
212;3870;680;0;
213;4319;630;0;
214;4598;636;0;
215;3643;669;0;
216;3881;674;0;
217;3784;640;0;
218;3775;631;0;
219;4209;656;0;
220;3919;669;0;
221;4085;612;0;
222;4499;644;0;
223;3731;627;0;
224;3836;626;0;
225;3756;640;0;
226;3786;587;-3.402823E+38;
227;4156;647;0;
228;4149;638;0;
229;4171;661;0;
230;4047;641;0;
231;3490;625;0;
232;4178;623;0;
233;4169;639;0;
234;4081;665;0;
235;4002;672;0;
236;3722;634;0;
237;4082;644;0;
238;4297;636;0;
239;4486;618;0;
240;3919;649;0;
241;3644;626;0;
242;4296;642;0;
243;4043;650;0;
244;3963;687;0;
245;4535;646;0;
246;4194;630;0;
247;3913;617;0;
248;4260;647;0;
249;3988;647;0;
250;3867;634;0;
251;3932;604;0;
252;3843;634;0;
253;4116;632;0;
254;3987;697;0;
255;3982;640;0;
256;3769;706;0;
257;3873;588;0;
258;3491;649;0;
259;4613;648;0;
260;3881;650;0;
261;4049;624;0;
262;4010;633;0;
263;4224;639;0;
264;3638;628;0;
265;4058;637;0;
266;3974;689;0;
267;4383;645;0;
268;3594;621;0;
269;3986;670;0;
270;3718;637;0;
271;3807;644;0;
272;4179;639;0;
273;3875;615;0;
274;4045;655;0;
275;4085;643;0;
276;4211;632;0;
277;3614;635;0;
278;3834;617;0;
279;4060;603;0;
280;4311;623;0;
281;4261;637;0;
282;3860;651;0;
283;4719;615;0;
284;4283;674;0;
285;3797;622;0;
286;4160;641;0;
287;3912;659;0;
288;3850;646;0;
289;3999;605;0;
290;3613;630;0;
291;3775;639;0;
292;3810;647;0;
293;4314;608;0;
294;4006;660;0;
295;4261;664;0;
296;4095;642;0;
297;3872;625;0;
298;4020;617;0;
299;3751;599;0;
300;4089;625;0;
301;4137;619;0;
302;3747;622;0;
303;4203;643;0;
304;4282;653;0;
305;3894;591;0;
306;4057;602;0;
307;3863;624;0;
308;4210;633;0;
309;3601;649;0;
310;3712;624;0;
311;4215;664;0;
312;3826;611;0;
313;4136;637;0;
314;4290;626;0;
315;3893;626;0;
316;3851;641;0;
317;4038;580;0;
318;3875;661;0;
319;4147;644;0;
320;4723;671;0;
321;4300;638;0;
322;4275;601;0;
323;4203;644;0;
324;3789;601;0;
325;3756;682;0;
326;4154;647;0;
327;4458;671;0;
328;3668;633;0;
329;3662;653;0;
330;3953;609;0;
331;4331;588;0;
332;4435;639;0;
333;4008;648;0;
