GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;435;71;0;
2;580;61;0;
3;627;59;0;
4;606;68;0;
5;453;66;0;
6;545;59;0;
7;656;66;0;
8;556;63;0;
9;594;63;0;
10;535;68;0;
11;510;69;0;
12;688;68;0;
13;470;56;0;
14;580;58;0;
15;572;63;0;
16;543;56;0;
17;384;58;0;
18;536;60;0;
19;594;58;0;
20;658;56;0;
21;485;58;0;
22;567;65;0;
23;461;60;0;
24;512;59;0;
25;544;65;0;
26;570;62;0;
27;633;64;0;
28;420;62;0;
29;493;57;0;
30;525;64;0;
31;504;60;0;
32;589;53;0;
33;594;56;0;
34;421;63;0;
35;631;63;0;
36;429;62;0;
37;587;65;0;
38;685;60;0;
39;577;59;0;
40;493;62;0;
41;564;58;0;
42;447;62;0;
43;790;67;0;
44;584;61;0;
45;621;67;0;
46;448;59;0;
47;537;59;0;
48;481;58;0;
49;521;67;0;
50;436;62;0;
51;652;69;0;
52;574;66;0;
53;455;63;0;
54;465;66;0;
55;591;60;0;
56;527;63;0;
57;503;67;0;
58;584;67;0;
59;503;67;0;
60;496;64;0;
61;541;63;0;
62;430;63;0;
63;526;62;0;
64;639;56;0;
65;512;63;0;
66;678;64;0;
67;508;61;0;
68;544;60;0;
69;569;69;0;
70;641;61;-3.402823E+38;
71;389;61;0;
72;437;67;0;
73;623;65;0;
74;470;57;0;
75;585;67;0;
76;632;62;0;
77;566;73;0;
78;498;67;0;
79;544;68;0;
80;446;67;0;
81;520;62;0;
82;562;65;0;
83;704;57;0;
84;457;65;0;
85;530;65;0;
86;401;59;0;
87;502;62;0;
88;739;58;0;
89;622;68;0;
90;492;56;-3.402823E+38;
91;492;57;0;
92;508;69;0;
93;698;61;0;
94;801;68;0;
95;454;64;0;
96;458;62;0;
97;451;62;0;
98;460;67;0;
99;460;65;0;
100;524;63;0;
