GEN_NUMB;BEST_FITNESS;MID_FITNESS;WORST_FITNESS
1;590;63;0;
2;624;67;0;
3;661;63;0;
4;401;68;0;
5;565;64;0;
6;436;67;0;
7;421;61;0;
8;577;64;0;
9;606;65;0;
10;560;67;0;
11;540;63;0;
12;455;60;0;
13;481;61;0;
14;580;62;0;
15;668;64;0;
16;602;60;0;
17;566;57;0;
18;844;62;0;
19;690;63;-3.402823E+38;
20;502;60;0;
21;533;62;0;
22;550;64;0;
23;504;59;0;
24;456;61;0;
25;575;60;0;
26;476;60;-3.402823E+38;
27;790;60;0;
28;541;64;0;
29;566;68;0;
30;458;56;0;
31;612;67;0;
32;584;60;0;
33;584;70;0;
34;611;65;0;
35;529;58;0;
36;530;63;0;
37;573;55;0;
38;504;59;0;
39;567;59;0;
40;491;65;0;
41;483;60;0;
42;413;64;0;
43;577;61;0;
44;484;64;0;
45;593;68;0;
46;641;62;0;
47;486;69;0;
48;514;65;0;
49;476;62;0;
50;801;63;0;
51;399;58;0;
52;590;59;0;
53;514;63;0;
54;479;61;0;
55;556;64;0;
56;578;62;-3.402823E+38;
57;627;65;0;
58;719;72;0;
59;488;64;0;
60;564;65;0;
61;502;59;0;
62;389;59;0;
63;618;60;0;
64;689;63;0;
65;566;66;0;
66;520;64;0;
67;486;61;-3.402823E+38;
68;559;66;0;
69;533;65;0;
70;687;63;-3.402823E+38;
71;499;61;0;
72;634;61;-3.402823E+38;
73;605;68;0;
74;413;64;0;
75;495;65;0;
76;578;57;0;
77;525;65;0;
78;493;61;0;
79;533;59;0;
80;507;64;0;
81;605;64;0;
82;609;70;0;
83;369;60;0;
84;494;65;0;
85;580;61;0;
86;598;64;0;
87;653;61;0;
88;559;70;0;
89;491;59;0;
90;566;65;0;
91;614;58;0;
92;554;63;0;
93;627;71;0;
94;637;61;0;
95;498;62;0;
96;611;63;0;
97;548;61;0;
98;513;63;-3.402823E+38;
99;515;66;0;
100;560;55;-3.402823E+38;
101;598;63;0;
102;652;59;0;
103;548;61;-3.402823E+38;
104;635;62;0;
105;665;71;0;
106;453;60;0;
107;649;70;0;
108;591;62;0;
109;368;58;0;
110;438;65;0;
111;543;65;0;
112;622;67;0;
113;448;59;0;
114;571;65;0;
115;514;61;0;
116;463;65;0;
117;535;67;0;
118;642;60;0;
119;581;70;0;
120;546;65;0;
121;579;72;-3.402823E+38;
122;544;71;0;
123;525;65;0;
124;578;71;0;
125;617;63;0;
126;573;63;0;
127;607;69;0;
128;693;66;0;
129;558;67;0;
130;591;67;0;
131;485;65;0;
132;667;67;0;
133;535;62;0;
134;394;63;0;
135;473;67;0;
136;513;62;0;
137;463;61;0;
138;631;63;-3.402823E+38;
139;574;64;0;
140;470;62;0;
141;506;61;0;
142;627;54;0;
143;498;62;0;
144;476;61;0;
145;480;60;0;
146;574;65;0;
147;498;63;0;
148;505;65;0;
149;701;62;0;
150;580;59;0;
151;542;63;0;
152;638;62;0;
153;497;59;0;
154;521;61;0;
155;507;56;0;
156;549;64;0;
157;448;62;0;
158;533;64;0;
159;553;59;0;
160;517;58;0;
161;667;64;0;
162;535;61;0;
163;602;60;0;
164;595;65;0;
165;544;64;0;
166;630;59;0;
167;419;61;0;
168;537;64;0;
169;617;61;0;
170;544;62;0;
171;737;63;0;
172;605;59;0;
173;477;60;0;
174;572;66;0;
175;498;60;0;
176;611;62;-3.402823E+38;
177;480;60;0;
178;617;60;0;
179;489;64;0;
180;536;59;0;
181;522;70;0;
182;490;62;0;
183;458;67;0;
184;532;56;0;
185;504;61;0;
186;653;64;0;
187;500;64;0;
188;719;67;0;
189;588;62;0;
190;522;61;0;
191;556;68;0;
192;568;64;0;
193;462;66;0;
194;451;64;0;
195;536;62;0;
196;404;68;0;
197;463;64;0;
198;459;58;0;
199;439;64;0;
200;512;65;-3.402823E+38;
201;616;64;0;
202;640;66;0;
203;661;65;0;
204;584;59;0;
205;563;71;0;
206;614;62;0;
207;493;61;0;
208;512;62;0;
209;458;68;0;
210;485;65;0;
211;455;67;0;
212;401;59;0;
213;442;63;0;
214;525;70;0;
215;431;63;0;
216;578;58;0;
217;484;59;0;
218;567;64;0;
219;588;62;0;
220;522;68;0;
221;523;66;0;
222;473;67;0;
223;575;63;0;
224;801;62;0;
225;510;69;0;
226;671;63;0;
227;551;59;0;
228;570;65;0;
229;406;59;0;
230;514;61;0;
231;698;61;0;
232;629;72;0;
233;455;71;0;
234;460;68;0;
235;608;62;0;
236;510;66;0;
237;466;63;0;
238;547;63;0;
239;462;70;0;
240;486;66;0;
241;555;59;0;
242;576;67;0;
243;393;64;0;
244;451;66;0;
245;621;62;0;
246;504;60;0;
247;379;59;0;
248;487;60;0;
249;722;64;0;
250;491;68;0;
251;515;66;0;
252;526;59;0;
253;567;64;0;
254;504;66;0;
255;420;58;0;
256;506;64;-3.402823E+38;
257;447;62;0;
258;564;65;0;
259;508;65;0;
260;786;71;-3.402823E+38;
261;733;60;-3.402823E+38;
262;547;66;0;
263;655;65;0;
264;529;63;0;
265;526;58;0;
266;402;60;0;
267;500;56;0;
268;507;73;0;
269;673;64;0;
270;531;62;0;
271;537;57;0;
272;579;59;0;
273;443;63;0;
274;462;57;0;
275;719;60;-3.402823E+38;
276;496;68;0;
277;497;61;0;
278;608;67;0;
279;469;60;0;
280;460;63;0;
281;465;59;0;
282;611;64;0;
283;454;67;0;
284;391;66;0;
285;461;62;-3.402823E+38;
286;501;65;0;
287;510;66;0;
288;420;59;0;
289;511;63;0;
290;451;63;0;
291;480;66;0;
292;441;61;0;
293;496;65;0;
294;563;66;0;
295;519;63;-3.402823E+38;
296;464;57;0;
297;612;64;0;
298;505;65;0;
299;619;66;0;
300;787;57;0;
301;511;62;0;
302;509;73;0;
303;519;66;0;
304;453;58;0;
305;507;61;0;
306;489;63;-3.402823E+38;
307;541;65;0;
308;519;67;0;
309;556;69;-3.402823E+38;
310;402;62;0;
311;674;64;0;
312;541;59;0;
313;625;64;0;
314;595;63;0;
315;516;64;0;
316;484;64;0;
317;368;67;0;
318;626;65;0;
319;437;55;0;
320;418;59;0;
321;743;63;0;
322;563;58;0;
323;481;64;0;
324;523;64;0;
325;550;63;0;
326;643;70;-3.402823E+38;
327;610;63;0;
328;604;63;0;
329;526;63;0;
330;470;64;0;
331;578;57;0;
332;414;66;0;
333;400;62;0;
334;660;68;0;
335;433;62;0;
336;406;65;0;
337;421;59;0;
338;543;64;0;
339;522;62;0;
340;508;60;0;
341;572;59;-3.402823E+38;
342;607;67;0;
343;382;63;0;
344;433;59;0;
345;709;61;0;
346;489;57;0;
347;466;61;0;
348;409;59;0;
349;384;65;0;
350;574;58;0;
351;501;61;0;
352;545;63;0;
353;750;62;0;
354;506;59;0;
355;554;66;0;
356;611;68;0;
357;578;61;0;
358;588;66;0;
359;511;67;0;
360;793;61;0;
361;518;56;0;
362;514;63;0;
363;475;66;-3.402823E+38;
364;465;59;0;
365;623;65;0;
366;524;69;0;
367;539;58;0;
368;713;67;0;
369;527;60;0;
370;576;62;0;
371;609;61;0;
372;458;67;0;
373;650;65;0;
374;468;78;0;
375;418;59;0;
376;577;63;0;
377;577;60;0;
378;781;74;0;
379;441;64;0;
380;515;63;0;
381;630;63;0;
382;621;64;0;
383;466;62;0;
384;498;60;0;
385;724;68;0;
386;500;68;0;
387;434;66;0;
388;634;63;0;
389;478;69;0;
390;549;63;0;
391;480;61;0;
392;551;61;0;
393;506;59;0;
394;516;70;0;
395;619;62;0;
396;688;66;0;
397;589;62;0;
398;523;62;0;
399;474;65;0;
400;631;63;0;
401;558;66;0;
402;477;58;0;
403;505;63;0;
404;700;62;0;
405;571;65;0;
406;576;63;0;
407;523;67;0;
408;754;64;0;
409;553;63;0;
410;462;65;0;
411;593;72;0;
412;534;66;0;
413;515;58;0;
414;733;69;0;
415;381;64;0;
416;530;61;0;
417;642;60;0;
418;540;71;0;
419;533;61;0;
420;605;61;0;
421;549;62;0;
422;442;62;0;
423;453;63;0;
424;564;67;0;
425;484;67;-3.402823E+38;
426;530;63;0;
427;617;61;0;
428;551;68;0;
429;527;67;0;
430;770;67;0;
431;608;65;0;
432;641;66;0;
433;470;64;0;
434;470;69;-3.402823E+38;
435;788;64;0;
436;436;61;0;
437;686;66;0;
438;578;63;0;
