POP_NUM;FITNESS
1;1935
2;3294
3;562
4;648
5;535
6;735
7;407
8;556
9;1182
10;650
11;2146
12;1749
13;3266
14;803
15;511
16;746
17;457
18;506
19;691
20;3389
21;718
22;873
23;582
24;703
25;418
26;512
27;2478
28;2259
29;577
30;515
31;560
32;481
33;826
34;463
35;3341
36;2421
37;964
38;2542
39;658
40;2517
41;1815
42;563
43;577
44;1755
45;645
46;745
47;658
48;719
49;377
50;625
51;799
52;4398
53;2238
54;845
55;518
56;467
57;748
58;1037
59;515
60;427
61;584
62;522
63;306
64;572
65;644
66;511
67;383
68;625
69;539
70;636
71;529
72;324
73;569
74;493
75;2914
76;931
77;692
78;632
79;744
80;600
81;619
82;810
83;527
84;476
85;770
86;615
87;435
88;561
89;824
90;600
91;638
92;681
93;660
94;503
95;685
96;515
97;534
98;456
99;3455
100;622
101;771
102;362
103;849
104;2127
105;1028
106;2300
107;669
108;611
109;541
110;624
111;583
112;740
113;628
114;816
115;390
116;521
117;557
118;598
119;1771
120;575
121;1678
122;672
123;532
124;774
125;681
126;498
127;431
128;3119
129;589
130;297
131;917
132;666
133;2698
134;673
135;374
136;856
137;443
138;703
139;3061
140;550
141;528
142;786
143;436
144;791
145;493
146;2100
147;478
148;561
149;578
150;616
151;471
152;961
153;2251
154;675
155;2277
156;663
157;494
158;561
159;288
160;1838
161;543
162;2863
163;750
164;474
165;734
166;812
167;530
168;908
169;1285
170;725
171;2072
172;469
173;514
174;697
175;697
176;2038
177;634
178;562
179;554
180;484
181;482
182;1157
183;884
184;967
185;671
186;789
187;638
188;476
189;484
190;2435
191;2621
192;570
193;3696
194;944
195;901
196;915
197;1852
198;368
199;979
200;489
201;685
202;539
203;3126
204;771
205;524
206;2322
207;806
208;641
209;460
210;991
211;645
212;621
213;501
214;3523
215;606
216;473
217;268
218;2399
219;459
220;765
221;589
222;507
223;744
224;755
225;1110
226;520
227;499
228;763
229;862
230;417
231;733
232;772
233;767
234;471
235;487
236;2747
237;2045
238;2821
239;815
240;517
241;2925
242;590
243;2538
244;519
245;395
246;2450
247;575
248;839
249;912
250;534
251;1990
252;1741
253;447
254;3222
255;1564
256;476
257;447
258;463
259;660
260;679
261;882
262;601
263;473
264;598
265;551
266;512
267;407
268;624
269;566
270;834
271;805
272;883
273;1512
274;3527
275;631
276;505
277;461
278;465
279;507
280;863
281;1055
282;3366
283;981
284;573
285;686
286;455
287;536
288;484
289;876
290;720
291;2271
292;3127
293;435
294;565
295;538
296;657
297;478
298;862
299;498
300;566
301;470
302;471
303;543
304;1136
305;573
306;308
307;798
308;386
309;800
310;586
311;462
312;852
313;642
314;717
315;2456
316;738
317;3685
318;655
319;3253
320;2378
321;1005
322;376
323;417
324;603
325;583
326;479
327;985
328;815
329;2850
330;599
331;504
332;2311
333;2223
334;847
335;454
336;646
337;560
338;529
339;449
340;665
341;574
342;2321
343;1230
344;2156
345;1845
346;715
347;472
348;564
349;713
350;455
351;592
352;547
353;504
354;905
355;941
356;775
357;506
358;638
359;507
360;547
361;575
362;4101
363;491
364;924
365;1100
366;851
367;846
368;471
369;494
370;643
371;581
372;2025
373;538
374;899
375;545
376;944
377;734
378;738
379;1604
380;2477
381;706
382;2219
383;452
384;470
385;877
386;356
387;603
388;479
389;756
390;377
391;474
392;450
393;805
394;691
395;829
396;526
397;3151
398;3359
399;696
400;2718
